safegraph_place_id,X,Unnamed..0,visitor_home_cbgs,visitor_count,date,city,region,x,y,dist.meters.,area_square_feet
sg:dca06085312a4c58bddd287f0c19bde9,188239,302117,5.3005E+11,4,2020/4/27,Richland,WA,-119.429059,46.32597808,18361.06181,135314
sg:111d430ebcd749b99e8846f3df156c27,221163,317929,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.3363777,46.26657373,4885.719601,587012
sg:d20a9fb4781441959bf36cd6e6e0acf8,221162,130933,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.3363777,46.26657373,7182.974507,123510
sg:226b5d59b125429480fe16dfc09847ef,408930,13492,5.3005E+11,4,2020/4/27,Richland,WA,-119.3317658,46.27916965,5081.241223,126289
sg:5a4f3626fd9d46b19920a957ebd722ac,408929,125220,5.3005E+11,4,2020/4/27,Richland,WA,-119.3317658,46.27916965,9089.40778,31305
sg:64ac2ada6e084753b227372341daaa69,334037,395907,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.3504224,46.27025132,1335.038167,110771
sg:a0de7adc95b64dc0b3ddd31d478d1a86,334036,409774,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.3504224,46.27025132,7143.186683,2805373
sg:111d430ebcd749b99e8846f3df156c27,335319,317927,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.3531984,46.28111922,5748.557222,587012
sg:275f23b82aff44a5a1344010e5b12295,335318,299872,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.3531984,46.28111922,10388.93154,84681
sg:37c7fe5b5ff2465bafa0ed598e424a57,335317,349029,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.3531984,46.28111922,694.7599352,45657
sg:64ac2ada6e084753b227372341daaa69,335316,395906,5.3005E+11,5,2020/4/27,Kennewick,WA,-119.3531984,46.28111922,128.1491992,110771
sg:88f1320f0a0b467a846ea93929ab1602,335315,307952,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.3531984,46.28111922,10693.14157,803918
sg:97de1e5d082544f181c6f3a0ab5b7105,335314,143286,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.3531984,46.28111922,1075.067163,266926
sg:a00c55821aff4241a060f4b2d8bd5121,335313,355069,5.3005E+11,5,2020/4/27,Kennewick,WA,-119.3531984,46.28111922,6419.88991,1621367
sg:226b5d59b125429480fe16dfc09847ef,164868,13486,5.3005E+11,4,2020/4/27,Richland,WA,-119.3630645,46.27770697,6273.127473,126289
sg:37c7fe5b5ff2465bafa0ed598e424a57,164867,349026,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.3630645,46.27770697,792.7304118,45657
sg:5ae667a713ba43578975e6754384f631,164866,252580,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.3630645,46.27770697,376.8290131,123729
sg:a00c55821aff4241a060f4b2d8bd5121,164865,355066,5.3005E+11,6,2020/4/27,Kennewick,WA,-119.3630645,46.27770697,7136.161698,1621367
sg:b6a5f92c53554880b1e602aff5118bbe,164864,421941,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.3630645,46.27770697,3126.670592,12514
sg:c8c4192215fa4695b028cb27730dd61a,164863,420227,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.3630645,46.27770697,14981.54115,18795580
sg:e27d8ede359c430088bdebf26f316a93,164862,200874,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.3630645,46.27770697,8010.281228,1807184
sg:79501949fd7547fcb255c42df1250de2,221048,374260,5.3005E+11,4,2020/4/27,Richland,WA,-119.3779763,46.28272566,9370.712474,2716841
sg:d21d3217a3b2427bad736f18c57703c1,221047,256268,5.3005E+11,4,2020/4/27,Pullman,WA,-119.3779763,46.28272566,177415.3169,116164
sg:edb57c61e1fd47d6af41ccca25d38880,111321,86052,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.3568563,46.29521583,6138.689397,1136461
sg:b8d63e67b42a419b807e302592afad7b,188224,1620,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.3438318,46.29245303,2201.470827,67520
sg:dca06085312a4c58bddd287f0c19bde9,188223,302113,5.3005E+11,4,2020/4/27,Richland,WA,-119.3438318,46.29245303,10823.54946,135314
sg:16ed184c75da4da496176a9242589c05,164808,136514,5.3005E+11,4,2020/4/27,Walla Walla,WA,-119.332127,46.2912686,79448.54534,8695022
sg:2f4cb50b2b904907a40a598b6826f18c,164807,408387,5.3005E+11,4,2020/4/27,Richland,WA,-119.332127,46.2912686,4105.649124,118347
sg:d44e813f60264ef79681b14ea55cab8d,164806,115504,5.3005E+11,4,2020/4/27,West Richland,WA,-119.332127,46.2912686,995.0496483,32022
sg:e27d8ede359c430088bdebf26f316a93,164805,200862,5.3005E+11,6,2020/4/27,Kennewick,WA,-119.332127,46.2912686,7378.058619,1807184
sg:79501949fd7547fcb255c42df1250de2,164825,374261,5.3005E+11,4,2020/4/27,Richland,WA,-119.3008717,46.24047041,8262.032325,2716841
sg:e27d8ede359c430088bdebf26f316a93,164824,200865,5.3005E+11,5,2020/4/27,Kennewick,WA,-119.3008717,46.24047041,1840.93915,1807184
sg:226b5d59b125429480fe16dfc09847ef,164882,13485,5.3005E+11,4,2020/4/27,Richland,WA,-119.3107134,46.25961832,2551.797102,126289
sg:981a982d677f42e8abb49610c1ff0c79,164880,84617,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.3107134,46.25961832,13210.25115,203355
sg:a00c55821aff4241a060f4b2d8bd5121,164879,355073,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.3107134,46.25961832,3423.645413,1621367
sg:c8c4192215fa4695b028cb27730dd61a,164878,420259,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.3107134,46.25961832,10496.09706,18795580
sg:e27d8ede359c430088bdebf26f316a93,164877,200878,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.3107134,46.25961832,3604.944085,1807184
sg:04ad9a6c5d7a4179bb7697011da9b2a9,111306,176800,5.3005E+11,4,2020/4/27,Bellingham,WA,-119.2749112,46.22534132,369571.7269,291142
sg:226b5d59b125429480fe16dfc09847ef,111305,13488,5.3005E+11,4,2020/4/27,Richland,WA,-119.2749112,46.22534132,2784.526868,126289
sg:262cceb738b243b18c17e8b5a450ccb5,111304,90491,5.3005E+11,14,2020/4/27,Kennewick,WA,-119.2749112,46.22534132,705.8053039,96864
sg:40233b8d302b413dbf82bf0b57aea5a8,111303,227144,5.3005E+11,5,2020/4/27,Richland,WA,-119.2749112,46.22534132,842.7023909,252739
sg:55812ba19ecb424abb97f438db956afc,111302,234989,5.3005E+11,8,2020/4/27,Richland,WA,-119.2749112,46.22534132,637.8130818,86297
sg:621d3caefd934d36bf1c1325ad064daf,111301,53823,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.2749112,46.22534132,11178.08765,25503
sg:79501949fd7547fcb255c42df1250de2,111300,374248,5.3005E+11,4,2020/4/27,Richland,WA,-119.2749112,46.22534132,9453.054607,2716841
sg:88f1320f0a0b467a846ea93929ab1602,111299,307947,5.3005E+11,5,2020/4/27,Kennewick,WA,-119.2749112,46.22534132,2075.11684,803918
sg:8f31084286d44597acc3c149ed699986,111298,19533,5.3005E+11,4,2020/4/27,Pasco,WA,-119.2749112,46.22534132,8261.332093,217996
