safegraph_place_id,X,Unnamed..0,visitor_home_cbgs,visitor_count,date,latitude,longitude,city,region,x,y,dist.meters.,area_square_feet
sg:25c17806d86a44659d01b2922633c864,588909,247286,530050000000 ,4,2019/4/29,48.01557,-122.530871,Freeland,WA,-119.429059,46.32597808,300928.2116,940
sg:262cceb738b243b18c17e8b5a450ccb5,424809,39438,530050000000 ,4,2019/4/29,46.222468,-119.266753,Kennewick,WA,-119.2874201,46.28629773,7271.838669,96864
sg:262cceb738b243b18c17e8b5a450ccb5,619014,39435,530050000000 ,4,2019/4/29,46.222468,-119.266753,Kennewick,WA,-119.2897618,46.29605003,8369.285174,96864
sg:262cceb738b243b18c17e8b5a450ccb5,311742,39434,530050000000 ,14,2019/4/29,46.222468,-119.266753,Kennewick,WA,-119.2749112,46.22534132,705.8053039,96864
sg:262cceb738b243b18c17e8b5a450ccb5,753667,39436,530050000000 ,4,2019/4/29,46.222468,-119.266753,Kennewick,WA,-119.2671785,46.29734135,8322.715848,96864
sg:262cceb738b243b18c17e8b5a450ccb5,311715,39437,530050000000 ,4,2019/4/29,46.222468,-119.266753,Kennewick,WA,-119.3069095,46.23024402,3216.2667,96864
sg:275d02c0c1ef4020a9ba95aa81020475,263900,858358,530050000000 ,4,2019/4/29,46.197231,-119.098682,Kennewick,WA,-119.1320165,46.20070655,2601.768794,646569
sg:275d02c0c1ef4020a9ba95aa81020475,849819,858355,530050000000 ,10,2019/4/29,46.197231,-119.098682,Kennewick,WA,-119.0961897,46.19540663,279.5198139,646569
sg:275d02c0c1ef4020a9ba95aa81020475,243544,858365,530050000000 ,4,2019/4/29,46.197231,-119.098682,Kennewick,WA,-119.6251387,46.1852855,40661.94066,646569
sg:275d02c0c1ef4020a9ba95aa81020475,521883,858362,530050000000 ,4,2019/4/29,46.197231,-119.098682,Kennewick,WA,-119.834757,46.23641639,56962.23746,646569
sg:275d02c0c1ef4020a9ba95aa81020475,447433,858367,530050000000 ,4,2019/4/29,46.197231,-119.098682,Kennewick,WA,-119.204351,46.20338748,8184.539793,646569
sg:275d02c0c1ef4020a9ba95aa81020475,263869,858366,530050000000 ,4,2019/4/29,46.197231,-119.098682,Kennewick,WA,-119.0779615,46.14912713,5581.245192,646569
sg:275d02c0c1ef4020a9ba95aa81020475,826104,858360,530050000000 ,4,2019/4/29,46.197231,-119.098682,Kennewick,WA,-119.7915839,46.18686575,53500.70493,646569
sg:275d02c0c1ef4020a9ba95aa81020475,263881,858359,530050000000 ,4,2019/4/29,46.197231,-119.098682,Kennewick,WA,-119.1169385,46.16342141,4013.763376,646569
sg:275d02c0c1ef4020a9ba95aa81020475,588794,858354,530050000000 ,11,2019/4/29,46.197231,-119.098682,Kennewick,WA,-119.3630645,46.27770697,22267.89453,646569
sg:275d02c0c1ef4020a9ba95aa81020475,263845,858363,530050000000 ,4,2019/4/29,46.197231,-119.098682,Kennewick,WA,-119.1222958,46.19468608,1844.554729,646569
sg:275d02c0c1ef4020a9ba95aa81020475,424838,858356,530050000000 ,5,2019/4/29,46.197231,-119.098682,Kennewick,WA,-119.2382716,46.22051024,11078.73979,646569
sg:275d02c0c1ef4020a9ba95aa81020475,710163,858368,530050000000 ,4,2019/4/29,46.197231,-119.098682,Kennewick,WA,-119.0458493,46.18370348,4346.881187,646569
sg:275f23b82aff44a5a1344010e5b12295,682966,317560,530050000000 ,4,2019/4/29,46.23096,-119.239509,Kennewick,WA,-119.3019741,46.27413901,6799.766407,84681
sg:2c39ea376252412e81bd6cfbfa267d96,495736,194605,530050000000 ,4,2019/4/29,47.607101,-122.342089,Seattle,WA,-119.1704708,46.17941482,289115.8685,74557
